symbol,signal_date,entry_date,entry_price,direction,atr_at_signal,upper_channel,lower_channel,channel_width,trend_filter,breakout_strength,volume,target_price,stop_price,label_horizon_days,label_target_atr,label_stop_atr,label_event,label_event_date,label_event_price,label,days_to_event
GLD,2025-09-03,2025-09-04,327.03,LONG,2.8378571428571484,325.92,305.19,20.730000000000018,311.864,0.7822803926503782,10904718.0,331.2867857142857,324.1921428571428,15,1.5,1.0,target_first,2025-09-05,331.2867857142857,1,2
GLD,2025-09-05,2025-09-08,333.66,LONG,3.1035714285714318,329.45,305.19,24.25999999999999,313.57000000000005,0.5155350978135856,11798110.0,338.3153571428572,330.55642857142857,15,1.5,1.0,target_first,2025-09-15,338.3153571428572,1,8
IWM,2025-09-05,2025-09-08,238.51,LONG,3.26071428571428,237.02,218.5,18.52000000000001,230.51350000000002,0.23001095290251958,35603336.0,243.4010714285714,235.24928571428572,15,1.5,1.0,target_first,2025-09-17,243.4010714285714,1,10
TLT,2025-09-05,2025-09-08,89.17,LONG,0.7628571428571423,88.25,85.48,2.769999999999996,86.89150000000001,0.40636704119850514,48720984.0,90.31428571428572,88.40714285714286,15,1.5,1.0,target_first,2025-09-11,90.31428571428572,1,4
GLD,2025-09-08,2025-09-09,337.03,LONG,3.342857142857148,331.44,305.19,26.25,314.6585,1.0111111111111082,12777582.0,342.0442857142857,333.6871428571428,15,1.5,1.0,stop_first,2025-09-11,333.6871428571428,0,3
TLT,2025-09-08,2025-09-09,89.41,LONG,0.808571428571428,88.61,85.48,3.1299999999999955,87.01400000000001,1.3975265017667797,43183357.0,90.62285714285714,88.60142857142857,15,1.5,1.0,target_first,2025-09-17,90.62285714285714,1,9
IWM,2025-09-11,2025-09-12,240.2,LONG,3.4357142857142833,239.68,223.69,15.990000000000009,233.199,0.32598752598752756,30325719.0,245.3535714285714,236.7642857142857,15,1.5,1.0,stop_first,2025-09-16,236.7642857142857,0,5
SPY,2025-09-11,2025-09-12,657.59,LONG,5.421428571428562,654.55,632.95,21.59999999999991,645.4035,0.5681159420289941,45479139.0,665.7221428571429,652.1685714285715,15,1.5,1.0,target_first,2025-09-22,665.7221428571429,1,11
TLT,2025-09-11,2025-09-12,89.83,LONG,0.8528571428571426,90.07,85.48,4.589999999999989,87.379,0.3165829145728764,36498447.0,91.10928571428572,88.97714285714285,15,1.5,1.0,stop_first,2025-09-18,88.97714285714285,0,7
QQQ,2025-09-12,2025-09-15,588.44,LONG,5.810714285714304,584.88,558.84,26.039999999999964,574.329,0.30633066994467784,33438620.0,597.1560714285715,582.6292857142857,15,1.5,1.0,target_first,2025-09-18,597.1560714285715,1,4
QQQ,2025-09-15,2025-09-16,592.61,LONG,5.882142857142875,587.86,558.84,29.019999999999982,575.046,0.649423193685476,29398871.0,601.4332142857144,586.7278571428571,15,1.5,1.0,stop_first,2025-09-17,586.7278571428571,0,2
SPY,2025-09-15,2025-09-16,661.46,LONG,4.844999999999994,659.11,632.95,26.159999999999968,646.9,0.3715170278637681,44804504.0,668.7275000000001,656.615,15,1.5,1.0,stop_first,2025-09-17,656.615,0,2
QQQ,2025-09-18,2025-09-19,597.32,LONG,6.182142857142878,592.86,558.84,34.01999999999998,578.2565,0.39792027729636503,39714116.0,606.5932142857143,591.1378571428572,15,1.5,1.0,stop_first,2025-09-25,591.1378571428572,0,7
QQQ,2025-09-19,2025-09-22,597.74,LONG,5.910000000000009,598.14,559.53,38.610000000000014,580.0600000000001,0.20473773265652023,33359635.0,606.605,591.83,15,1.5,1.0,stop_first,2025-09-25,591.83,0,4
GLD,2025-09-22,2025-09-23,348.23,LONG,3.6671428571428515,341.24,306.43,34.81,329.4415,1.0389559797428927,8111415.0,353.73071428571427,344.5628571428572,15,1.5,1.0,stop_first,2025-09-24,344.5628571428572,0,2
QQQ,2025-09-22,2025-09-23,602.37,LONG,5.501428571428578,600.05,559.53,40.51999999999998,581.5715,0.39080758244613395,33275682.0,610.6221428571429,596.8685714285714,15,1.5,1.0,stop_first,2025-09-24,596.8685714285714,0,2
SPY,2025-09-22,2025-09-23,666.71,LONG,4.70642857142857,664.89,634.92,29.970000000000027,652.3950000000001,0.41432690848384646,47389906.0,673.7696428571429,662.0035714285715,15,1.5,1.0,stop_first,2025-09-23,662.0035714285715,0,1
GLD,2025-09-23,2025-09-24,346.7,LONG,3.655714285714278,345.07,309.67,35.39999999999998,331.273,0.3802266510355578,12211266.0,352.1835714285714,343.0442857142857,15,1.5,1.0,stop_first,2025-09-24,343.0442857142857,0,1
XLE,2025-09-26,2025-09-29,45.68,LONG,0.7571428571428568,45.62,43.19,2.4299999999999997,44.6015,0.4886792452830251,32069432.0,46.815714285714286,44.92285714285714,15,1.5,1.0,stop_first,2025-09-29,44.92285714285714,0,1
GLD,2025-09-29,2025-09-30,351.13,LONG,3.7292857142857048,348.75,314.64,34.110000000000014,337.742,0.9948285769009739,9503526.0,356.72392857142853,347.4007142857143,15,1.5,1.0,target_first,2025-10-01,356.72392857142853,1,2
