lookback,strength,stop_atr,trail_atr,hold,fail_wait,eligible_assets,avg_sharpe,median_sharpe,best_sharpe,avg_return,avg_trades,avg_max_dd,avg_win_rate,avg_exp_return,top_symbol,score
30,0.15,3.0,2.5,12,4,5,0.20994815954014498,0.021870952739604415,0.8202270722321109,0.015524164855000123,43.6,-0.026865338611383092,0.5143162393162394,0.0009639091871205853,QQQ,0.5201043833016593
30,0.15,3.0,2.5,15,4,5,0.20994815954014498,0.021870952739604415,0.8202270722321109,0.015524164855000123,43.6,-0.026865338611383092,0.5143162393162394,0.0009639091871205853,QQQ,0.5201043833016593
30,0.15,3.0,2.5,18,4,5,0.20994815954014498,0.021870952739604415,0.8202270722321109,0.015524164855000123,43.6,-0.026865338611383092,0.5143162393162394,0.0009639091871205853,QQQ,0.5201043833016593
30,0.2,2.0,2.5,12,4,5,0.2233359103599261,0.2512668368313069,0.6811844111356913,0.023685467787142755,39.6,-0.035277441292722346,0.5280976280355082,0.0016549491073956201,QQQ,0.519839570047233
30,0.2,2.0,2.5,15,4,5,0.2233359103599261,0.2512668368313069,0.6811844111356913,0.023685467787142755,39.6,-0.035277441292722346,0.5280976280355082,0.0016549491073956201,QQQ,0.519839570047233
30,0.2,2.0,2.5,18,4,5,0.2233359103599261,0.2512668368313069,0.6811844111356913,0.023685467787142755,39.6,-0.035277441292722346,0.5280976280355082,0.0016549491073956201,QQQ,0.519839570047233
30,0.15,3.0,3.0,12,4,5,0.20432808107243866,0.021870952739604415,0.8202270722321109,0.015068815660000134,43.6,-0.026865338611383092,0.5143162393162394,0.0009176971855477407,QQQ,0.5162093004061915
30,0.15,3.0,3.0,15,4,5,0.20432808107243866,0.021870952739604415,0.8202270722321109,0.015068815660000134,43.6,-0.026865338611383092,0.5143162393162394,0.0009176971855477407,QQQ,0.5162093004061915
30,0.15,3.0,3.0,18,4,5,0.20432808107243866,0.021870952739604415,0.8202270722321109,0.015068815660000134,43.6,-0.026865338611383092,0.5143162393162394,0.0009176971855477407,QQQ,0.5162093004061915
30,0.15,3.0,3.5,12,4,5,0.19898346480191104,0.021870952739604415,0.8202270722321109,0.014613466465000146,43.6,-0.026865338611383092,0.5143162393162394,0.000871485183974896,QQQ,0.5124381754994541
30,0.15,3.0,3.5,15,4,5,0.19898346480191104,0.021870952739604415,0.8202270722321109,0.014613466465000146,43.6,-0.026865338611383092,0.5143162393162394,0.000871485183974896,QQQ,0.5124381754994541
30,0.15,3.0,3.5,18,4,5,0.19898346480191104,0.021870952739604415,0.8202270722321109,0.014613466465000146,43.6,-0.026865338611383092,0.5143162393162394,0.000871485183974896,QQQ,0.5124381754994541
20,0.2,3.0,2.5,12,4,6,0.12288436365076905,0.10227638084868865,0.9583027481359485,0.008163760343452453,44.0,-0.026292272268278627,0.5101595835466803,0.0005990692185805883,QQQ,0.5095077071988569
20,0.2,3.0,2.5,15,4,6,0.12288436365076905,0.10227638084868865,0.9583027481359485,0.008163760343452453,44.0,-0.026292272268278627,0.5101595835466803,0.0005990692185805883,QQQ,0.5095077071988569
